,Diamter,Counts
0,1.0447851849999997e-06,7.735860031048183e-14
1,1.13373825383717e-06,1.7200993256488467e-13
2,1.2302647919091168e-06,3.783935432923185e-13
3,1.3350096048082764e-06,8.235295327825056e-13
4,1.4486723969111248e-06,1.7732089239457877e-12
5,1.5720124454637314e-06,3.777338522280567e-12
6,1.7058536726191717e-06,7.96080849054141e-12
7,1.85109014930852e-06,1.659868619122867e-11
8,2.0086920677117263e-06,3.424013920359069e-11
9,2.1797122222249615e-06,6.987834299694428e-11
10,2.365293042217919e-06,1.4108958106432336e-10
11,2.5666742235604653e-06,2.8183346426005006e-10
12,2.7852010098978543e-06,5.569746679851218e-10
13,3.0223331789942165e-06,1.0889892606329369e-09
14,3.2796547941738347e-06,2.1064784461638745e-09
15,3.558884786000617e-06,4.031212683965747e-09
16,3.861888434882441e-06,7.632374523583181e-09
17,4.1906898313049696e-06,1.4296472850833231e-08
18,4.5474853969305394e-06,2.6493748162815162e-08
19,4.934658556884171e-06,4.85739222122442e-08
20,5.3547956612387254e-06,8.81065531649084e-08
21,5.810703262056352e-06,1.5810970165419645e-07
22,6.3054268613980374e-06,2.8070755158950183e-07
23,6.8422712555398515e-06,4.930545176805868e-07
24,7.4248226112969e-06,8.568031568673442e-07
25,8.056972421926606e-06,1.4730328861353662e-06
26,8.742943502639051e-06,2.5054693647746076e-06
27,9.487318199366533e-06,4.216101135812785e-06
28,1.0295068999229177e-05,7.019048006951745e-06
29,1.1171591747177434e-05,1.1560874179813508e-05
30,1.2122741690701411e-05,1.8838590498815255e-05
31,1.3154872593388523e-05,3.037046253845743e-05
32,1.4274879178611968e-05,4.843950270605219e-05
33,1.5490243186876844e-05,7.64351663072051e-05
34,1.6809083354491516e-05,0.00011932515936635047
35,1.8240209647425906e-05,0.00018429608115888799
36,1.97931821126431e-05,0.00028160829769220745
37,2.147837474003721e-05,0.00042571608864582134
38,2.3307044761579553e-05,0.000636707475102177
39,2.5291407850598467e-05,0.0009421175698734597
40,2.744471972352972e-05,0.0013791627763093247
41,2.9781364689244777e-05,0.0019974283981279684
42,3.231695173747351e-05,0.0028620168245688344
43,3.506841880820059e-05,0.004057125238899477
44,3.805414593856431e-05,0.00568996919271626
45,4.1294078043088506e-05,0.007894900940450209
46,4.480985814743057e-05,0.010837490370547606
47,4.862497196565735e-05,0.01471824518254813
48,5.276490478683972e-05,0.019775551834621898
49,5.725731171897907e-05,0.02628732887400224
50,6.213220242751217e-05,0.03457081157418864
51,6.742214160246275e-05,0.0449798456505646
52,7.316246649337625e-05,0.05789907371958106
53,7.939152296519296e-05,0.07373446614005882
54,8.615092165192932e-05,0.09289979031748329
55,9.348581591929944e-05,0.11579883671614193
56,0.00010144520349308884,0.14280352530125412
57,0.0001100822537681857,0.17422839267990603
58,0.00011945466298471967,0.2103023863595539
59,0.0001296250396439185,0.2511393354419971
60,0.00014066132273829094,0.29670888387740824
61,0.0001526372355899519,0.3468100134341188
62,0.00016563277832876703,0.40104949709755117
63,0.00017973476230011365,0.45882766214058673
64,0.00019503738997214963,0.5193336690387567
65,0.00021164288421641808,0.5815521088011691
66,0.0002296621711654382,0.6442820912771773
67,0.0002492156212088299,0.7061691709615784
68,0.00027043385307788816,0.7657494915357818
69,0.00029345860638996566,0.8215045056294755
70,0.0003184436884813304,0.8719236379357794
71,0.00034555600185342503,0.9155714099456216
72,0.00037497665909596114,0.9511549297304682
73,0.0004069021927346246,0.9775873492689404
74,0.00044154586808528356,0.9940429551454757
75,0.00047913910788467673,1.0
76,0.0005199330382142358,0.9952681757541746
77,0.0005642001660439527,0.979998710505156
78,0.0006122361996024212,0.9546763417693671
79,0.000664362023733284,0.920093760414921
80,0.0007209258434336446,0.8773104048962775
81,0.0007823055098934512,0.8275985935669169
82,0.0008489110445740074,0.7723808134892219
83,0.0009211873781866686,0.7131624682701283
84,0.0009996173228683308,0.6514644942853193
85,0.001084724797408117,0.5887599936564173
86,0.001177078327070035,0.5264184500248777
87,0.0012772948413907284,0.46566026562830853
88,0.0013860437953219524,0.40752338055294884
89,0.0015040516412473375,0.3528427093759522
90,0.0016321066817469132,0.302242153855199
91,0.0017710643355262773,0.2561381049169704
92,0.0019218528516872567,0.2147526925959366
93,0.002085479510511909,0.17813461227056587
94,0.0022630373521816054,0.14618515654195335
95,0.002455712478379624,0.11868709789724942
96,0.0026647919755526223,0.09533426301362138
97,0.0028916725127590037,0.07575996854922576
98,0.0031378696715385875,0.059562898979386276
99,0.0034050280701278988,0.04632944927945826
